Season,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,Range,Def
2020,"Mets","---",4620,-0.4357379600405693,1,0,-4,4,-2,-11,-4,-21,5.155873378738761,-3.700645685195923,-10.708235073834658,7.789824745734222,-1.4631752138957381,2.6511865972690853,-0.9199999803677201,-4,-4,-2.1235359687928286
2010,"Braves","---",12954,10.967271971952869,-5,5,4,-6,-2,20,3,26,-4.543346265330911,2.649028114043176,-25.134871109155938,-6.218200543240528,-33.24734269711189,-5.126581610187831,26.104999853298068,,,-2.137287841460857
2025,"Angels","---",1575,-1.4308300006669015,-1,0,1,-2,-3,2,3,-4,,,,,,,-1.6499999752268195,2,1,-2.378286517181031
2010,"Yankees","---",12981,-14.218256069987547,1,-11,2,6,-4,57,2,29,2.2447919603437185,1.9837398901581764,-0.1443762476556003,20.98484132759495,25.069050836318638,3.971206210109615,-16.7000000923872,,,-2.6409836415829417
2024,"Mariners","---",12897,8.443583984393626,3,2,0,-1,1,9,28,39,1.6679928041994572,2.380927428137511,6.067096327198669,-13.576332548283972,-3.460312548559159,0.0071552587568364245,9.720000023022294,-17,-13,-3.1377532149473844
2025,"Rays","---",1689,-0.1662900112569332,1,0,1,0,3,1,7,11,,,,,,,-0.6800000071525574,1,0,-3.1612733853822026
2012,"Nationals","---",13215,3.2646079608239233,0,-3,3,1,-2,-10,-1,-16,3.3696681624278426,-0.6314505711197853,-5.647189998999238,3.8560566860687686,0.947106247767806,0.6624650135904939,-1.2599999494850636,,,-3.30287897680563
2022,"Twins","---",12933,9.927726982627064,-1,-2,2,7,6,2,8,27,6.800448916852474,-0.6306824088096619,-0.26685947738587856,-5.984180349390954,-0.08127302257344127,0.8458331826559785,5.984999950043857,-16,-9,-3.7062485536943033
2011,"Cubs","---",12909,1.611184106208384,-1,0,-7,9,-6,-32,-1,-34,2.552759176120162,-4.749066019430757,5.856013828422874,-11.350500862870831,-7.690808746963739,-1.1925628457850728,3.9450001707300544,,,-3.760745173759898
2024,"Rockies","---",12840,-8.374835008871742,1,4,8,-6,-5,14,14,20,-6.106274159625173,3.8852666430175304,4.916731592267752,15.61458898265846,18.310306605882943,1.3252444140467508,-10.584999721497297,9,6,-3.7709268468917685
2020,"Athletics","---",4638,2.395016994094476,0,0,-3,2,1,-18,-8,-23,1.608127847313881,-0.8189097177237272,3.2089566001668572,11.612179082003422,15.61036659963429,5.279565800749529,1.6499999910593033,-9,-6,-3.839283529597304
2022,"Athletics","---",12837,2.239280989393592,-5,3,3,-9,-11,-14,-4,-29,-1.6541223991662264,-1.5178340561687946,-8.012514512322014,-1.771776169604891,-12.956246494250081,-2.1657743332953676,6.019999938085675,-6,-5,-3.840502698197559
2017,"Marlins","---",12984,-12.234061975032091,-7,2,3,-5,9,8,11,22,-2.475124252960086,4.160316981375217,13.486141576351713,9.700074788110214,24.871392815024592,3.25057132304533,2.200000077486038,-8,-6,-3.84187947987325
2015,"Astros","---",12969,9.137597966007888,0,-3,1,9,4,24,-4,31,0.6414037365466356,-3.032327078282833,-5.055519490502775,-5.016617488814518,-12.463044762145728,-2.474732012408097,11.210000207647681,,,-4.26304401288467
2020,"Mariners","---",4650,-1.6983230216428638,-3,-1,2,5,1,4,11,14,2.7102024033665657,0.19713134760968387,0.1927366501186043,1.8941037327531376,4.9941661700140685,2.7479174506690374,-2.6249999683350325,2,0,-4.342704851912195
2023,"Orioles","---",13083,5.553533002268523,-2,0,3,-4,-1,29,1,34,-5.069793759845197,1.7468294724822044,14.144551262288587,17.996951211505802,28.818536628969014,2.245171872958676,6.015000078827143,-16,-12,-4.3450465595065495
2010,"Angels","---",13044,12.709340868517756,-4,-3,-4,3,2,-8,1,-4,11.903489242307842,-2.6327705150470138,-3.0968579566615517,-7.106369495879335,-0.932525931915734,1.5712034755797621,-0.41999990958720446,,,-4.352508990979672
2025,"Giants","---",1647,1.1476020151749253,0,0,1,1,3,-2,-1,4,,,,,,,1.9050000440329313,-7,-6,-4.479114942017725
2023,"Twins","---",13062,2.9904520236887038,0,1,2,-1,0,1,21,33,-2.39444038644433,-3.597222033655271,2.3940324333379976,-2.7500314499775413,-6.347660343337338,-1.7188631728059787,6.584999996237457,-13,-10,-4.615474547522844
2013,"Pirates","---",13236,7.411678873002529,6,3,-4,1,4,20,15,45,-1.5737830381840467,-7.3950688424520195,0.5599357373575913,-8.646650778449839,-17.055572409381057,-3.063416584219031,9.355000017210841,,,-4.705598268926979
2020,"Reds","---",4536,3.8011439726687968,1,1,0,1,0,-7,7,5,1.300274558365345,-0.5742015540599823,-2.918636907939799,-3.7711043863819214,-5.9636666206642985,-2.12335768010929,1.6799999745562673,-10,-8,-4.8957341068311075
2019,"Angels","---",12984,-5.380568016553298,-1,-2,2,-7,-5,-8,8,-20,6.691167037934065,0.7293916437774897,8.39175344328396,10.980145396548323,26.79245653282851,4.259564345823225,-4.969999877735972,8,6,-4.90705522667077
2012,"Dodgers","---",13047,-12.27382102701813,2,0,-8,5,2,3,1,-6,4.9094059048220515,-5.184235290624201,5.720257648732513,1.457407544425223,6.902824966236949,1.5033142582286316,-11.81499987654388,,,-4.917166981924229
2014,"Cardinals","---",13038,-17.83710815705126,2,0,6,-3,1,48,3,54,-9.065840110182762,4.82300447113812,5.386150716949487,-2.160001017677132,-1.0166696718224557,-1.501061185448426,-3.9099999899044633,,,-4.926706020403086
2021,"Dodgers","---",13068,14.563829973805696,-1,1,-4,-5,-1,6,34,36,-3.7940517961978912,-0.7929070508107543,10.34022352588363,-18.4334154958633,-12.680151595530333,-3.4829996935520806,4.409999911673367,-11,-10,-4.948640555264063
