Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2018,"OAK",162,2403,6255,227,813,778,35,0.087929656,0.220783373,0.186951066,0.293897882,0.252195734,0.325332053,0.4391468,0.32944876494137515,,111.91879528591772,-8.005614681635052,80.97912574378803,-8.104746693745255,29.46897787862764
2015,"SFG",162,2342,6153,136,696,663,93,0.074272712,0.188363399,0.139083558,0.313443231,0.267026055,0.326129666,0.406109613,0.318264531742079,,103.71527784787013,-0.3548722364939749,25.543587333598868,62.022311536595225,29.468964700097978
2022,"ATL",162,2259,6082,243,789,753,87,0.077277211,0.246300559,0.190415683,0.302576235,0.253040479,0.317382009,0.443456162,0.33017858544618733,,111.83532295468123,0.6185261576902121,84.25060551195809,-13.962450626539066,29.345311706066397
2011,"CIN",162,2358,6329,183,735,697,97,0.084531521,0.197503555,0.151639345,0.297463853,0.256236635,0.32576,0.40787598,0.3217204188331168,,99.34278736470566,8.68736912170425,3.623900685124834,79.8473019450903,29.322115028427923
2017,"NYY",162,2294,6354,241,858,821,90,0.096946805,0.218130311,0.185019664,0.303753417,0.26153021,0.338546603,0.446549874,0.33551458404951634,,109.11516520558312,7.612606268143281,78.8952226147767,5.854741576360539,29.30571978738163
2011,"STL",162,2403,6242,162,762,726,57,0.086831143,0.156680551,0.151482285,0.304828519,0.273499638,0.340857421,0.424981923,0.33430863522215676,,112.33583919636278,-16.473010499728844,72.2569865212172,12.621024418622255,29.189231320343225
2015,"LAD",162,2379,6090,187,667,638,59,0.092446633,0.206568144,0.162674095,0.291939546,0.249953574,0.326101358,0.412627669,0.3217683914637673,,106.1768019472985,-15.298119564540684,28.15946325321042,57.33340233750641,29.042363212153298
2021,"LAD",162,2459,6239,237,830,799,65,0.098252925,0.225677191,0.184756658,0.284265279,0.244260789,0.329788947,0.429017447,0.3267943585562254,,105.26669291293899,2.735602909408044,43.99937592058629,35.975461793132126,29.009878465030233
2012,"SFG",162,2384,6200,103,718,675,118,0.077903225,0.176935483,0.127743792,0.315003394,0.268981648,0.327352797,0.39672544,0.31437926787313264,,101.29489617128039,12.96420850418508,22.390411914497317,65.41663715988398,28.957544823581564
2024,"BAL",162,2412,6176,235,786,759,98,0.079177461,0.220045336,0.185557751,0.287705326,0.249865277,0.315328467,0.435423028,0.3243981082736719,,114.60847067647792,-0.33684466520207934,102.78713221957423,-30.46235285559669,28.773434958667977
